"","years","annual_spot_rates","upper","lower"
"1",2024,0.0625298053249382,0.0652292803740048,0.0598303302758715
"2",2025,0.0639165550813606,0.0674635996559293,0.060369510506792
"3",2026,0.0653033048377831,0.0695650617536984,0.0610415479218678
"4",2027,0.0666900545942056,0.0715928970979299,0.0617872120904813
"5",2028,0.0680768043506281,0.0735736181294063,0.0625799905718498
"6",2029,0.0694635541070505,0.0755217239630171,0.063405384251084
"7",2030,0.070850303863473,0.0774461210348719,0.0642544866920741
"8",2031,0.0722370536198955,0.0793527171075521,0.0651213901322389
"9",2032,0.073623803376318,0.0812456515002021,0.0660019552524338
"10",2033,0.0750105531327405,0.0831279461075292,0.0668931601579517
"11",2034,0.0763973028891629,0.0850018787187443,0.0677927270595815
"12",2035,0.0777840526455854,0.0868692107074919,0.0686988945836789
"13",2036,0.0791708024020079,0.0887313328685795,0.0696102719354363
"14",2037,0.0805575521584304,0.0905893626266828,0.0705257416901779
"15",2038,0.0819443019148528,0.0924442110145823,0.0714443928151234
"16",2039,0.0833310516712753,0.0942966301322519,0.0723654732102987
"17",2040,0.0847178014276978,0.0961472475910676,0.0732883552643279
"18",2041,0.0861045511841203,0.0979965920368021,0.0742125103314384
"19",2042,0.0874913009405427,0.0998451124087478,0.0751374894723377
"20",2043,0.0888780506969652,0.101693192707038,0.0760629086868922
